,name,tags
178,Журналист-копирайтер,"['Грамотная речь', 'Грамотность', 'Английский язык', 'Написание текстов', 'Работа с большим объемом информации', 'Работа в команде', 'Сбор и анализ информации', 'Знание иностранных языков', 'Написание статей', 'Копирайтинг', 'Interviews', 'Журналистика', 'Креативность', 'Поиск информации в интернет', 'Перевод', 'Проведение опросов', 'Рерайтинг', 'Написание рекламных статей']"
179,PR-менеджер в IT/финансах,[]
180,PR Менеджер (Fashion retail),"['Грамотность', 'Грамотная речь', 'Написание текстов', 'Английский язык', 'Написание статей', 'Написание пресс-релизов', 'Организация презентаций', 'PR', 'Анализ PR стратегии конкурентов']"
181,Журналист,"['Грамотная речь', 'Ведение переговоров', 'Грамотность', 'Деловая переписка', 'Навыки межличностного общения', 'Деловая коммуникация', 'Деловая этика', 'Написание статей', 'Написание текстов', 'Написание рекламных статей', 'Интервьюирование', 'Грамотная письменная речь', 'Пунктуален', 'Опытный пользователь ПК', 'принимать решения и за их результаты отвечать самостоятельно', 'Поиск информации в интернет', 'Высокая скорость печати', 'Ведение деловой переписки', 'Умение общаться с людьми', 'Набор текста', 'Пользователь ПК']"
182,Сценарист на YouTube-проект,"['Юмор', 'Творческое мышление', 'Креативность', 'Написание сценариев', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Режиссура']"
183,PR-менеджер благотворительного фонда (Кольцово),"['Написание текстов', 'Организация пресс-конференций', 'PR', 'Публичные выступления', 'Грамотность']"
184,Менеджер проектов в PR агентство (недвижимость),"['Организация мероприятий', 'Работа со СМИ', 'Документооборот', 'Деловая коммуникация', 'Управление проектами', 'Организация деловых поездок', 'Коммуникация с клиентом', 'Написание пресс-релизов', 'организация пресс-туров']"
185,Сценарист на YouTube-проект,"['Юмор', 'Творческое мышление', 'Креативность', 'Написание сценариев', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Режиссура']"
186,PR-менеджер (в IT-компанию),"['Написание пресс-релизов', 'Написание текстов', 'Организация мероприятий', 'Работа со СМИ', 'Подготовка комментарие для прессы', 'Интервьюирование', 'PR', 'Ориентация на результат', 'создание информационных поводов']"
187,Корреспондент ТВ,[]
188,Журналист / корреспондент,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Поиск информации в интернет', 'Написание текстов']"
189,Сценарист на YouTube-проект,"['Юмор', 'Творческое мышление', 'Креативность', 'Написание сценариев', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Режиссура']"
190,PR-менеджер,"['Написание текстов', 'Публичные выступления', 'Анализ PR стратегии конкурентов', 'Медиа-мониторинг']"
191,PR-менеджер,[]
192,Журналист,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Навыки межличностного общения', 'Выездные мероприятия', 'Журналистика']"
193,Журналист/корреспондент,"['Работа в команде', 'Грамотность', 'Поиск информации в интернет', 'Журналистика', 'Написание статей', 'Копирайтинг', 'Грамотная письменная речь', 'Оперативный поиск информации', 'Ответственность и пунктуальность']"
194,Специалист по PR,[]
195,Корреспондент/журналист,"['Написание текстов', 'Грамотная речь', 'Написание пресс-релизов', 'Пользователь ПК', 'Литературное редактирование']"
196,Корреспондент/журналист,"['Грамотность', 'Поиск информации в интернет', 'Написание текстов', 'Грамотная речь', 'Интервьюирование']"
197,Content Manager,"['Грамотность', 'Английский язык', 'Написание текстов', 'Редактирование', 'Копирайтинг']"
198,PR-менеджер,"['PR', 'Анализ PR стратегии конкурентов', 'Наличие контактов с журналистами', 'Интернет-реклама', 'Social Media Marketing']"
199,PR-менеджер,[]
200,Научный журналист,"['Написание текстов', 'Грамотная речь', 'Деловая коммуникация', 'Организация мероприятий', 'Написание статей', 'Написание научных статей']"
201,Журналист,"['Adobe Photoshop', 'Грамотная речь', 'Написание текстов']"
202,Менеджер по PR и маркетингу,"['Digital Marketing', 'Маркетинговые коммуникации', 'Медиапланирование', 'Планирование маркетинговых кампаний', 'B2B маркетинг', 'PR']"
203,Журналист,"['Грамотная речь', 'Работа в команде', 'Написание текстов', 'Деловое общение', 'Написание пресс-релизов']"
204,Специалист по внешним коммуникациям,"['PR', 'Организация пресс-конференций', 'Написание текстов', 'Формирование пула лояльных СМИ', 'Наличие контактов с журналистами', 'Деловая коммуникация', 'Федеральные СМИ']"
205,Журналист,"['Грамотность', 'Грамотная речь', 'Пользователь ПК', 'Написание текстов', 'Работа в команде', 'Удаленная работа', 'Умение работать в условиях многозадачности']"
206,Журналист,"['Написание статей', 'Написание текстов', 'Грамотность', 'Телефонное интервью', 'Поиск информации в интернет', 'Редактирование', 'Грамотная речь', 'Рерайтинг']"
207,PR-менеджер,"['Ведение групп в социальных сетях', 'PR', 'Написание текстов', 'Организация пресс-конференций', 'Публичные выступления', 'Электронные СМИ', 'выступления на радио', 'Деловые СМИ', 'Международные СМИ', 'Наличие контактов с журналистами', 'Коммуникации с инвесторами', 'Региональные СМИ', 'Подготовка комментарие для прессы', 'Подготовка комментариев для телевидения', 'Написание статей', 'Организация мероприятий', 'Копирайтинг', 'Ведение переговоров', 'Управление проектами', 'Организаторские навыки', 'Английский язык', 'Проведение презентаций', 'Деловая переписка', 'Работа в команде', 'Вывод компании на рынок', 'Анализ PR стратегии конкурентов', 'Федеральные СМИ']"
208,Копирайтер,"['Английский\xa0— B2 — Средне-продвинутый', 'Грамотная речь', 'Пользователь ПК', 'Ориентация на результат', 'Работа с большим объемом информации', 'Аналитическое мышление']"
209,Журналист / корреспондент,[]
210,Журналист (новости),[]
211,Журналист,"['Грамотность', 'Написание текстов', 'Написание статей', 'Грамотная речь', 'Поиск информации в интернет', 'Рерайтинг', 'Редактирование', 'Корректура текстов', 'Копирайтинг', 'Редактирование текстов', 'Написание рекламных статей', 'Журналистика']"
212,Редактор корпоративного издания,"['Журналистика', 'Написание текстов', 'Грамотность', 'Грамотная речь', 'Креативность']"
213,PR-менеджер,"['PR', 'Написание текстов', 'Написание пресс-релизов', 'SMM', 'Организация мероприятий']"
214,Сценарист на YouTube-проект,"['Юмор', 'Творческое мышление', 'Креативность', 'Написание сценариев', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Режиссура']"
215,PR-специалист (удаленно),"['Грамотная речь', 'Написание текстов', 'Наличие контактов с журналистами', 'Копирайтинг', 'Грамотность']"
216,Выпускающий редактор СМИ,"['Грамотность', 'Умение работать в коллективе', 'Высокая скорость печати', 'Журналистика', 'Написание статей', 'Редактирование текстов', 'Написание текстов', 'Корректура текстов', 'Анализ трафика']"
217,Корреспондент,"['Написание статей', 'Копирайтинг', 'Написание текстов', 'Журналистика', 'Грамотная речь', 'Ведение переговоров', 'Рерайтинг', 'Грамотность', 'Деловая переписка', 'Телефонные переговоры', 'Деловая коммуникация']"
218,Сотрудник пресс-центра/журналист,"['Грамотность', 'Многозадачность', 'Пользователь ПК']"
219,Менеджер по связям с общественностью,"['Английский\xa0— B2 — Средне-продвинутый', 'Медиапланирование', 'Организация PR кампаний', 'Работа со СМИ', 'SMM', 'Грамотная речь', 'Написание статей', 'Проведение презентаций']"
220,Редактор-журналист,"['Написание статей', 'Грамотность', 'Креативность', 'Поиск информации в интернет', 'Редакторская деятельность', 'Умение находить новые темы', 'Умение правильно подать информацию', 'Грамотная речь']"
221,Редактор-райтер,"['Копирайтинг', 'Грамотность', 'Написание текстов', 'Грамотная речь', 'Написание статей']"
222,Редактор Telegram-каналов/SMM-менеджер,"['Написание текстов', 'Копирайтинг', 'SMM', 'Написание статей', 'Adobe Photoshop']"
223,PR-специалист,[]
224,Контент-менеджер,"['Грамотная речь', 'оформление документации', 'Креативность', 'Грамотность', 'Журналистика', 'Высокий уровень грамотности', 'Написание рекламных статей', 'Поиск информации', 'Копирайт', 'Русский язык']"
225,Копирайтер/редактор/журналист,[]
226,Контент-редактор новостного раздела сайт/журналист,"['Поиск информации в интернет', 'Грамотная речь', 'Грамотность', 'Написание текстов', 'Наполнение контентом']"
227,Менеджер по связям с общественностью,"['PR', 'Написание текстов', 'PR первых лиц компании', 'Организация пресс-конференций', 'Формирование пула лояльных СМИ', 'Взаимодействие с телевидением', 'Наличие контактов с журналистами', 'Подготовка комментариев для телевидения', 'Региональный PR', 'Копирайтинг', 'Adobe Photoshop', 'Электронные СМИ', 'Федеральные СМИ', 'Медиа-мониторинг', 'Региональные СМИ']"
228,Главный редактор аналитического издания,"['Английский\xa0— B2 — Средне-продвинутый', 'Немецкий\xa0— A1 — Начальный', 'Организаторские навыки', 'Управление персоналом', 'Управление проектами', 'Английский язык', 'Подбор персонала']"
229,Менеджер по работе со СМИ,"['PR', 'Федеральные СМИ', 'Формирование пула лояльных СМИ', 'Деловые СМИ', 'Медиа-мониторинг', 'Наличие контактов с журналистами', 'Региональные СМИ', 'Электронные СМИ']"
230,Главный редактор,"['Английский\xa0— A1 — Начальный', 'Грамотность', 'Грамотная речь', 'Корректура текстов', 'Adobe Acrobat', 'Контакты с журналистами', 'Техническое редактирование', 'Грамотный русский язык', 'Пользователь ПК', 'Работа в коллективе', 'Высокий уровень ответственности', 'Работа в условиях многозадачности', 'Коммуникабельность, ответственность']"
231,PR - менеджер,"['Ведение переговоров', 'Деловая переписка', 'Деловое общение', 'Заключение договоров', 'Управление проектами']"
232,Журналист-редактор,"['Написание текстов', 'Написание статей', 'Копирайтинг', 'Редактирование', 'Грамотность']"
233,PR-менеджер,"['PR', 'Написание текстов', 'Организация пресс-конференций', 'Федеральные СМИ', 'Формирование пула лояльных СМИ', 'Электронные СМИ', 'Наличие контактов с журналистами', 'Региональные СМИ', 'Сопровождение спикеров компании на радио и телевидении', 'Организация мероприятий', 'Взаимодействие с телевидением', 'Медиа-мониторинг', 'Управление проектами', 'Организаторские навыки', 'Ведение переговоров']"
234,Копирайтер - контент-менеджер,"['Написание текстов', 'Грамотность', 'Написание статей', 'Написание рекламных статей', 'Копирайтинг', 'Социальные сети', 'Редактирование', 'Наполнение контентом', 'Креативность', 'Редактирование текстов']"
235,Журналист / корреспондент,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Поиск информации в интернет', 'Написание текстов']"
236,Редактор / Копирайтер / Контент-менеджер (Стажер отдела маркетинга),"['копирайтер', 'Копирайтинг', 'Наполнение контентом', 'Написание статей', 'Интернет-реклама', 'Журналистика', 'Написание текстов', 'Редактирование', 'Креативность', 'журналист', 'редактор', 'контент менеджер', 'Корректура текстов', 'Литературное редактирование', 'Редакторская деятельность', 'Рерайтинг', 'рерайт', 'Написание сценариев', 'Интернет маркетинг', 'стажер в отдел маркетинга', 'стажер в отдел рекламы', 'SMM', 'смм', 'smm менеджер', 'SMM специалист', 'стажировка', 'smm маркетолог']"
237,PR-специалист,"['Написание текстов', 'PR', 'Формирование пула лояльных СМИ', 'Электронные СМИ', 'Подготовка комментарие для прессы', 'Копирайтинг', 'SMM', 'Журналистика', 'Грамотность', 'Работа со СМИ', 'Написание пресс-релизов', 'Организация мероприятий', 'Корректура текстов', 'Федеральные СМИ', 'Наличие контактов с журналистами']"
238,Журналист - корреспондент,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Написание статей', 'Написание рекламных статей', 'Редактирование', 'Работа с большим объемом информации', 'Телефонные переговоры', 'Корректура текстов', 'Литературное редактирование', 'Пользователь ПК', 'Умение работать в коллективе', 'Творческое мышление', 'MS Word', 'Поиск информации в интернет', 'Репортажная фотосъемка', 'Социальные сети', 'Деловая переписка', 'Электронная почта', 'Работа с оргтехникой', 'Деловое общение', 'Креативность', 'Работа в команде']"
239,Менеджер/Ведущий менеджер по коммуникациям (PR-менеджер),"['Написание текстов', 'Написание статей', 'PR', 'Коммуникативные навыки', 'Деловая коммуникация']"
240,Журналист-копирайтер,"['Креативность', 'Грамотная речь', 'Работа в команде', 'Написание текстов']"
241,Журналист-Корреспондент,[]
242,Журналист-редактор,"['Написание текстов', 'Написание статей', 'Копирайтинг', 'Редактирование', 'Грамотность']"
243,Журналист-новостник,"['Пользователь ПК', 'Грамотность', 'Грамотная речь', 'Работа с большим объемом информации', 'Internet', 'Поиск информации в интернет', 'CMS Wordpress', 'Написание текстов', 'Интервьюирование', 'Терпеливость', 'Умение объяснять', 'Работа с людьми', 'Точность и внимательность к деталям', 'Деловая переписка', 'Деловая коммуникация']"
244,Специалист пресс-службы/копирайтер,[]
245,Редактор новостей,"['Английский\xa0— B1 — Средний', 'Редактирование', 'Написание статей', 'Письменный перевод', 'Редакторская деятельность', 'Грамотность', 'Интервьюирование']"
246,Журналист-копирайтер в PR-агентство,"['Стрессоустойчивость', 'Ответственность']"
247,PR-менеджер,"['PR', 'Написание текстов', 'Организация пресс-конференций', 'Публичные выступления', 'Написание пресс-релизов', 'Организаторские навыки', 'Организация мероприятий', 'Деловые СМИ', 'Медиа-мониторинг', 'Вывод компании на рынок', 'Взаимодействие с телевидением', 'Коммуникация с инвесторами', 'PR первых лиц компании', 'Формирование пула лояльности СМИ', 'Анализ PR стратегии конкурентов', 'Электронные СМИ', 'Антикризисные коммуникации', 'Федеральные СМИ']"
248,Журналист,"['Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Редактирование', 'Владение словом']"
249,Журналист-редактор,"['Ответственность', 'Исполнительность', 'Грамотность', 'Креативность', 'Английский язык', 'Написание статей', 'Написание текстов']"
250,"PR-менеджер (рассмотрим без опыта, но с профильным образованием)","['Написание текстов', 'PR', 'Организация пресс-конференций', 'Публичные выступления', 'Наличие контактов с журналистами']"
251,Журналист,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Навыки межличностного общения', 'Выездные мероприятия', 'Журналистика']"
252,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
253,Журналист-автор в интернет издание Tourdom.ru,"['Грамотная речь', 'Английский язык', 'Поиск информации в интернет', 'Работа с большим объемом информации', 'Грамотность', 'Написание текстов', 'Написание статей', 'Interviews', 'Многозадачность', 'написание аналитических текстов', 'Опытный пользователь ПК', 'Удаленная работа', 'Контакты с журналистами', 'Русский язык', 'Работа в условиях многозадачности']"
254,PR-специалист (удаленно),"['Грамотная речь', 'Написание текстов', 'Наличие контактов с журналистами', 'Копирайтинг', 'Грамотность']"
255,"Дата-журналист, редактор инфографики","['Английский\xa0— B1 — Средний', 'Английский язык', 'Грамотность', 'Разработка концепции', 'Инфографика', 'Журналистика']"
256,Журналист - корреспондент,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Написание статей', 'Написание рекламных статей', 'Редактирование', 'Работа с большим объемом информации', 'Телефонные переговоры', 'Корректура текстов', 'Литературное редактирование', 'Пользователь ПК', 'Умение работать в коллективе', 'Творческое мышление', 'MS Word', 'Поиск информации в интернет', 'Репортажная фотосъемка', 'Социальные сети', 'Деловая переписка', 'Электронная почта', 'Работа с оргтехникой', 'Деловое общение', 'Креативность', 'Работа в команде']"
257,Журналист,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Навыки межличностного общения', 'Выездные мероприятия', 'Журналистика']"
258,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Грамотная речь', 'Написание текстов', 'Копирайтинг', 'SEO', 'instagram', 'vk', 'facebook', 'telegram', 'whatsup', 'Написание сценариев', 'сценарии', 'Редактирование текстов', 'квесты', 'экскуксии', 'Проведение праздников', 'Творческое мышление', 'google drive', 'Написание рассказов', 'Экскурсионный туризм', 'гайдинг', 'Пользователь ПК']"
259,PR Manager,"['Английский\xa0— B1 — Средний', 'Управление проектами', 'Креативность', 'Организаторские навыки', 'PR', 'Digital Marketing', 'Маркетинговые коммуникации', 'Внутренние коммуникации']"
260,Журналист-копирайтер,[]
261,Корректор-редактор,"['Французский\xa0— B2 — Средне-продвинутый', 'Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Подготовка презентаций', 'MS PowerPoint', 'Грамотная речь', 'Грамотность', 'Навыки презентации', 'Работа с большим объемом информации', 'Деловое общение', 'Деловая этика', 'Пользователь ПК']"
262,Копирайтер,"['Грамотность', 'Написание статей', 'Пользователь ПК', 'Грамотная речь', 'Оптимизм', 'Копирайтинг', 'Рерайтинг', 'Креативность', 'Корректура текстов', 'Поиск информации в интернет', 'Редактирование', 'Оперативный поиск информации', 'Журналистика', 'Написание рекламных статей', 'Написание текстов', 'Редактирование текстов', 'Высокий уровень грамотности', 'Грамотный русский язык', 'Работа в условиях многозадачности']"
263,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
264,PR-специалист (удаленно),"['Грамотная речь', 'Написание текстов', 'Наличие контактов с журналистами', 'Копирайтинг', 'Грамотность']"
265,Журналист,"['Написание текстов', 'Грамотная речь', 'Грамотность', 'Навыки межличностного общения', 'Выездные мероприятия', 'Журналистика']"
266,Ночной корреспондент,[]
267,PR- менеджер,[]
268,Журналист / собственный корреспондент,"['Написание текстов', 'Поиск информации в интернет', 'Журналистика']"
269,Автор-журналист на экономическую тематику,"['Написание текстов', 'Поиск информации в интернет', 'Грамотность', 'Съемочный процесс']"
270,Руководитель PR направления,"['PR', 'Работа со СМИ', 'GR', 'Написание пресс-релизов', 'PR первых лиц компании', 'Деловые СМИ', 'Коммуникативная стратегия', 'Разработка PR стратегии']"
271,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
272,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Пользователь ПК', 'Грамотная речь', 'Креативность', 'Написание текстов', 'Копирайтинг', 'SEO', 'VK', 'Telegram', 'Написание сценариев', 'Сценарии', 'Редактирование текстов', 'Квесты', 'Экскурсии', 'Проведение праздников', 'Творческое мышление', 'Google Drive', 'Google Documents', 'Экскурсионный туризм', 'Гайдинг']"
273,PR-специалист (удаленно),"['Грамотная речь', 'Написание текстов', 'Наличие контактов с журналистами', 'Копирайтинг', 'Грамотность']"
274,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
275,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
276,PR-менеджер,"['Подготовка презентаций', 'Internet Marketing', 'PR', 'Написание текстов', 'B2B маркетинг', 'Организация пресс-конференций', 'Деловые СМИ', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов', 'Разработка PR стратегии']"
277,Выпускающий редактор КП-Москва и КП-Подмосковье,"['Редактирование', 'Грамотность', 'Журналистика', 'Поиск информации', 'Яндекс.Метрика', 'Google Analytics']"
278,Менеджер по работе со СМИ,"['PR', 'Федеральные СМИ', 'Формирование пула лояльных СМИ', 'Деловые СМИ', 'Медиа-мониторинг', 'Наличие контактов с журналистами', 'Региональные СМИ', 'Электронные СМИ']"
279,Редактор-копирайтер информационного сайта,"['Английский язык', '1С-Битрикс', 'Грамотность', 'Журналистика', 'Копирайтинг', 'Управление проектами', 'Поиск информации в интернет', 'Аналитические исследования']"
280,PR-специалист (удаленно),"['Грамотная речь', 'Написание текстов', 'Наличие контактов с журналистами', 'Копирайтинг', 'Грамотность']"
281,PR менеджер,"['PR', 'Написание текстов', 'Анализ PR стратегии конкурентов', 'Организация пресс-конференций', 'Формирование пула лояльных СМИ']"
282,Специалист по связям с общественностью/PR (автомобильный бренд),[]
283,Специалист по маркетингу и PR,[]
284,Руководитель отдела внешних коммуникаций (PR),"['PR', 'Работа со СМИ', 'Организация мероприятий', 'Копирайтинг', 'Организаторские навыки']"
285,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Грамотная речь', 'Написание текстов', 'Копирайтинг', 'SEO', 'Instagram', 'vk', 'facebook', 'telegram', 'whatsapp', 'Написание сценариев', 'сценарии', 'Редактирование текстов', 'квесты', 'экскурсии', 'Проведение праздников', 'Творческое мышление', 'Google Drive', 'Написание рассказов', 'Экскурсионный туризм', 'гайдинг', 'Пользователь ПК']"
286,PR-менеджер / PR-специалист,"['Английский\xa0— B2 — Средне-продвинутый', 'Английский язык', 'Написание статей', 'Грамотность', 'Написание текстов', 'Публичные выступления']"
287,PR-менеджер,"['Написание текстов', 'PR', 'Анализ PR стратегии конкурентов', 'Формирование пула лояльных СМИ', 'PR первых лиц компании']"
288,PR-менеджер,"['Маркетинговые коммуникации', 'PR', 'Работа со СМИ', 'Написание текстов']"
289,PR-Менеджер,"['PR', 'Наличие контактов с журналистами', 'PR первых лиц компании', 'Электронные СМИ', 'Антикризисные коммуникации']"
290,"Корреспондент в сетевое издание ""Новости Брянска""","['Написание статей', 'Написание пресс-релизов', 'Написание текстов', 'Журналистика', 'Рерайтинг']"
291,Управляющий менеджер по внешним коммуникациям (АНО Академия ПСБ),"['SMM', 'Написание пресс-релизов', 'Написание статей', 'Наполнение контентом', 'мониторинг соцсетей', 'работа с соцсетями']"
292,Редактор районного онлайн-СМИ,"['Написание статей', 'Наполнение контентом', 'Копирайтинг', 'Грамотность', 'Написание текстов']"
293,PR-менеджер,"['Написание текстов', 'Наличие контактов с журналистами', 'Формирование пула лояльных СМИ', 'PR', 'Федеральные СМИ']"
294,PR-менеджер/копирайтер,"['Копирайтинг', 'PR', 'Журналистика', 'Написание рекламных статей', 'Наполнение контентом', 'Написание пресс-релизов', 'Cоциальный маркетинг', 'Работа со СМИ', 'Ведение групп в социальных сетях', 'Наличие контактов с журналистами']"
295,Копирайтер (Департамент коммуникаций и связей с общественностью),"['Английский\xa0— C1 — Продвинутый', 'Написание текстов', 'Копирайтинг', 'Инфографика', 'Наполнение контентом', 'Написание статей', 'Генерация идей', 'Креативность', 'Творческое мышление', 'Высокие коммуникативные навыки', 'Грамотность', 'Продюсирование', 'Работа со СМИ', 'Деловая коммуникация', 'Маркетинг', 'Социальные сети']"
296,Корреспондент ленты новостей,"['Написание текстов', 'Интервьюирование', 'Редактирование', 'Журналистика', 'Написание статей', 'Грамотность']"
297,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Грамотная речь', 'Написание текстов', 'Копирайтинг', 'SEO', 'instagram', 'vk', 'facebook', 'telegram', 'Написание сценариев', 'сценарии', 'Редактирование текстов', 'квесты', 'Проведение праздников', 'Творческое мышление', 'google drive', 'Написание рассказов', 'Экскурсионный туризм', 'гайдинг', 'Пользователь ПК', 'Whatsapp', 'экскурсии']"
298,Руководитель PR-отдела,"['Организация пресс-конференций', 'Написание текстов', 'Наличие контактов с журналистами', 'Анализ PR стратегии конкурентов', 'Работа со СМИ', 'многозадачность', 'самоорганизация', 'пунктуальность', 'MS PowerPoint', 'Социальные сети', 'Журналистика', 'Грамотность']"
299,Журналист-редактор,"['Написание текстов', 'Написание статей', 'Копирайтинг', 'Редактирование', 'Грамотность']"
300,PR manager / Менеджер по работе с клиентами в PR-агентство,[]
301,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Грамотная речь', 'Написание текстов', 'Копирайтинг', 'SEO', 'instagram', 'vk', 'facebook', 'telegram', 'Написание сценариев', 'сценарии', 'Редактирование текстов', 'квесты', 'Проведение праздников', 'Творческое мышление', 'google drive', 'Написание рассказов', 'Экскурсионный туризм', 'гайдинг', 'Пользователь ПК', 'WhatsApp', 'экскурсии']"
302,Копирайтер,"['Написание текстов', 'Грамотность', 'Корректура текстов', 'Написание статей', 'Грамотная речь']"
303,PR-менеджер,[]
304,Пресс-секретарь,"['GR', 'PR', 'Написание текстов', 'Организация пресс-конференций', 'Публичные выступления']"
305,Корреспондент,"['Написание статей', 'Написание текстов', 'Журналистика', 'Грамотность']"
306,Гид-экскурсовод / Сценарист-писатель (Автор квестов),"['Грамотная речь', 'Написание текстов', 'Копирайтинг', 'SEO', 'instagram', 'vk', 'facebook', 'telegram', 'Написание сценариев', 'сценарии', 'Редактирование текстов', 'квесты', 'Проведение праздников', 'Творческое мышление', 'google drive', 'Написание рассказов', 'Экскурсионный туризм', 'гайдинг', 'Пользователь ПК', 'Whatsapp', 'экскурсии']"
307,Специалист отдела по работе со СМИ,[]
308,PR-менеджер / Контент-менеджер в консалтинговую компанию (научный консалтинг),[]
309,Специалист по PR,[]
310,PR-специалист,"['Написание текстов', 'PR', 'Организация пресс-конференций', 'Публичные выступления', 'Наличие контактов с журналистами', 'Копирайтинг', 'Подготовка комментарие для прессы', 'Написание пресс-релизов', 'Работа в команде', 'Написание рекламных статей', 'PR первых лиц компании', 'Федеральные СМИ', 'Формирование пула лояльных СМИ', 'Анализ PR стратегии конкурентов', 'Взаимодействие с телевидением', 'Вывод компании на рынок', 'выступления на радио', 'Выступления на телевидении', 'Коммуникации с инвесторами']"
311,PR-менеджер / Менеджер по связям с общественностью,"['Написание текстов', 'Написание пресс-релизов', 'Работа со СМИ', 'Написание статей', 'Написание рекламных статей', 'PR', 'Журналистика']"
312,Выпускающий редактор,"['Редакторская деятельность', 'Грамотность', 'Редактирование текстов', 'Репортаж', 'Контакты с журналистами', 'Поиск информации в интернет', 'Интервьюирование', 'Написание текстов']"
313,PR-менеджер,"['Написание текстов', 'PR', 'Организация пресс-конференций', 'Наличие контактов с журналистами', 'Взаимодействие с телевидением']"
314,Менеджер по внешним коммуникациям,"['Написание пресс-релизов', 'Написание текстов', 'Написание статей', 'Мониторинг СМИ', 'Грамотная речь']"
315,Копирайтер,[]
316,Спичрайтер/Пресс-секретарь,[]
317,Пресс-секретарь,"['Написание текстов', 'Видеосъемка', 'Фото', 'Социальные сети', 'Грамотная речь', 'Ведение отчетности', 'Ведение групп в социальных сетях', 'Обработка фото', 'Обработка видео', 'Ведение социальных сетей', 'Работа с социальными сетями', 'Наличие контактов с журналистами', 'Подготовка комментарие для прессы', 'Региональные СМИ']"
318,Специалист пресс-службы,"['Написание текстов', 'Подготовка комментарие для прессы', 'Взаимодействие с телевидением', 'Электронные СМИ', 'Медиа-мониторинг']"
319,Менеджер по связям с общественностью (IT PR),[]
320,Менеджер по рекламе и связям с общественностью,"['PR', 'Грамотная речь', 'Продвижение бренда', 'Написание текстов', 'Копирайтинг', 'Формирование пула лояльных СМИ', 'Наличие контактов с журналистами', 'Электронные СМИ', 'Коммуникативная стратегия', 'Внутренние коммуникации']"
321,PR-специалист,"['Организация мероприятий', 'Проведение презентаций', 'Креативность']"
322,PR менеджер (Пресс секретарь),"['PR', 'GR', 'Работа со СМИ', 'Организация мероприятий', 'Деловая коммуникация', 'управление связями с общественностью', 'Анализ эффективности PR', 'Разработка PR стратегии', 'Публичные выступления', 'Наличие контактов с журналистами', 'PR первых лиц компании', 'Подготовка комментарие для прессы']"
323,Коммьюнити менеджер NFT,"['Английский\xa0— C1 — Продвинутый', 'Telegram', 'Discord', 'Коммуникация', 'Социальные сети', 'Английский язык', 'NFT']"
324,"Менеджер PR, копирайтер,",[]
325,"Главный редактор в сетевое издание ИА ""Владимирские новости""",[]
326,Специалист по связям с общественностью,"['PR', 'Медиа-мониторинг', 'Анализ PR стратегии конкурентов', 'Формирование пула лояльных СМИ', 'Продвижение бренда', 'Управление проектами', 'Social Media Marketing', 'Организация мероприятий', 'Проведение презентаций', 'Организаторские навыки']"
327,PR-менеджер,"['Английский\xa0— B2 — Средне-продвинутый', 'Написание текстов', 'Медиа-мониторинг', 'Английский язык', 'Работа в условиях многозадачности', 'Работа со СМИ', 'Организация пресс-конференций', 'Формирование пула лояльных СМИ', 'Наличие контактов с журналистами']"
328,PR-менеджер,[]
329,Менеджер по PR и рекламе/Пресс-секретарь,"['Грамотная речь', 'MS PowerPoint', 'Поиск информации в интернет', 'Организация мероприятий', 'Подготовка презентаций']"
330,Автор статей (журналист),"['Написание текстов', 'Написание статей', 'Английский язык', 'Грамотная речь', 'Работа с большим объемом информации']"
