,name,tags
40,PR-менеджер,"['Поиск информации в интернет', 'Гарантийное обслуживание', 'Стрессовое интервью', 'Работа в условиях многозадачности', 'Soft skills', 'PR', 'Организация пресс-конференций', 'PR первых лиц компании', 'Формирование пула лояльных СМИ', 'Электронные СМИ', 'Вывод компании на рынок', 'Деловые СМИ', 'Наличие контактов с журналистами']"
41,Журналист,[]
42,Журналист (общественно-политическая тематика),"['Грамотность', 'Написание текстов', 'Креативность', 'Политическая журналистика', 'Политический анализ', 'Деловая коммуникация', 'Работа с большим объемом информации', 'Написание статей', 'Социальные сети', 'Работа со смыслами']"
43,Редактор ленты новостей,"['Написание статей', 'Журналистика', 'Написание текстов', 'Грамотность', 'Пользователь ПК']"
44,Журналист,"['Грамотность', 'Пользователь ПК', 'Грамотная речь', 'Навыки межличностного общения']"
45,"Журналист ""Наука в Сибири"" СО РАН","['Грамотная речь', 'Написание текстов', 'Грамотность', 'Поиск информации в интернет', 'Организация мероприятий', 'Организационные навыки', 'Вовлеченность', 'Грамотная письменная речь', 'Быстрая печать', 'Быстрый набор текста', 'ПК', 'умение фотографировать']"
46,Автор-журналист,"['Журналистика', 'Написание статей']"
47,Журналист,[]
48,"Главный редактор ""Федеральный бизнес журнал Урал""","['Активные продажи', 'Ведение переговоров', 'Организаторские навыки', 'Работа в команде', 'Управление проектами', 'Телефонные переговоры', 'Грамотная речь']"
49,Автор/Журналист/Технарь (IT контент),"['Написание текстов', 'Написание статей', 'Копирайтинг', 'Грамотность', 'Интервьюирование', 'Журналистика']"
50,Журналист,[]
51,Журналист в газету СПбГАСУ,"['Грамотность', 'Написание текстов', 'Деловая коммуникация', 'Корпоративная журналистика', 'Журналистика']"
52,Журналист/политолог,"['Написание текстов', 'Написание статей', 'Грамотная речь', 'Журналистика', 'Электронные СМИ', 'Рерайтинг', 'Пользователь ПК', 'Мониторинг СМИ', 'Грамотность', 'Высокая скорость печати', 'Работа с большим объемом информации', 'Аналитические способности', 'Политолог', 'Политическая журналистика', 'Политический анализ', 'Социологические исследования', 'социолог']"
53,Журналист-копирайтер,"['Написание текстов', 'Написание статей', 'Наполнение контентом', 'Литературное редактирование', 'Грамотность', 'Журналистика', 'Креативность', 'Корректура текстов', 'Копирайтинг', 'Написание пресс-релизов', 'Редактирование']"
54,Журналист,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Грамотность', 'Организаторские навыки']"
55,SMM-журналист в СМИ,"['Креативность', 'Грамотность', 'Аналитические исследования']"
56,Ночной журналист-продюсер Telegram-канала,"['Грамотность', 'Написание статей', 'Написание текстов', 'Корректура текстов', 'Грамотная речь']"
57,Обозреватель (журналист),"['Грамотность', 'Написание текстов', 'Креативность', 'Написание статей', 'Работа с большим объемом информации', 'Internet', 'Грамотная письменная речь', 'Журналистика', 'Редактирование', 'Копирайтинг', 'Работа в команде']"
58,Продюсер (журналист),"['Поиск информации в интернет', 'Грамотность']"
59,Журналист UFA1.RU,"['Написание статей', 'Написание текстов', 'Журналистика']"
60,PR менеджер / Специалист по работе со СМИ (удаленно),[]
61,Автор-Новостник,"['Наполнение контентом', 'Написание текстов', 'Грамотность']"
62,Журналист,"['Грамотная речь', 'Творческое мышление', 'SMM', 'Журналистика', 'Телевидение', 'Копирайтинг']"
63,Журналист,"['Написание текстов', 'Поиск информации в интернет', 'Социальные сети']"
